,ticker,xly,xlp,xle,xlf,xlv,xli,xlb,xlre,xlk,xlu
502,LEG,True,False,False,False,False,False,False,False,False,False
503,LEN,False,False,False,False,False,True,False,False,False,False
504,LEN.B,False,False,False,False,False,True,False,False,False,False
505,LEXEA,True,False,False,False,False,False,False,False,False,False
506,LGF.A,True,False,False,False,False,False,False,False,False,False
507,LGF.B,True,False,False,False,False,False,False,False,False,False
508,LH,False,False,False,False,True,False,False,False,False,False
509,LII,False,True,False,False,False,False,False,False,False,False
510,LKQ,True,False,False,False,False,False,False,False,False,False
511,LLL,False,False,False,False,False,False,False,False,True,False
512,LLY,False,False,False,False,True,False,False,False,False,False
513,LM,False,False,False,True,False,False,False,False,False,False
514,LMT,False,False,False,False,False,True,False,False,False,False
515,LNC,False,False,False,True,False,False,False,False,False,False
516,LNG,False,False,False,False,False,False,False,False,False,True
517,LNT,False,False,False,False,False,False,False,False,False,True
518,LOGM,False,False,False,False,False,False,False,False,True,False
519,LOW,True,False,False,False,False,False,False,False,False,False
520,LPI,False,False,True,False,False,False,False,False,False,False
521,LPLA,False,False,False,True,False,False,False,False,False,False
